K000188,H.CON.RES.10,01/13/2017,1
N000015,H.CON.RES.10,01/23/2017,1
T000462,H.CON.RES.10,01/23/2017,1
P000593,H.CON.RES.10,01/31/2017,1
J000290,H.CON.RES.10,02/07/2017,1
R000578,H.CON.RES.10,02/14/2017,1
H001064,H.CON.RES.10,02/14/2017,1
N000184,H.CON.RES.10,02/16/2017,1
L000557,H.CON.RES.10,02/16/2017,1
H001067,H.CON.RES.10,02/27/2017,1
M001160,H.CON.RES.10,02/27/2017,1
C001061,H.CON.RES.10,02/28/2017,1
S001195,H.CON.RES.10,02/28/2017,1
R000585,H.CON.RES.10,03/01/2017,1
W000813,H.CON.RES.10,03/07/2017,1
C001096,H.CON.RES.10,03/09/2017,1
M001189,H.CON.RES.10,03/09/2017,1
S001187,H.CON.RES.10,03/10/2017,1
R000592,H.CON.RES.10,03/15/2017,1
H001065,H.CON.RES.10,03/16/2017,1
W000812,H.CON.RES.10,03/20/2017,1
F000454,H.CON.RES.10,03/21/2017,1
N000181,H.CON.RES.10,03/27/2017,1
L000563,H.CON.RES.10,03/29/2017,1
K000376,H.CON.RES.10,03/29/2017,1
H001059,H.CON.RES.10,03/30/2017,1
D000191,H.CON.RES.10,03/30/2017,1
M001181,H.CON.RES.10,03/30/2017,1
D000619,H.CON.RES.10,03/30/2017,1
P000607,H.CON.RES.10,04/03/2017,1
R000577,H.CON.RES.10,04/03/2017,1
D000614,H.CON.RES.10,04/04/2017,1
W000798,H.CON.RES.10,04/04/2017,1
P000258,H.CON.RES.10,04/04/2017,1
K000210,H.CON.RES.10,04/05/2017,1
S000244,H.CON.RES.10,04/05/2017,1
S001145,H.CON.RES.10,04/25/2017,1
E000294,H.CON.RES.10,04/25/2017,1
W000799,H.CON.RES.10,04/25/2017,1
B001281,H.CON.RES.10,04/25/2017,1
C001105,H.CON.RES.10,04/25/2017,1
L000569,H.CON.RES.10,04/26/2017,1
F000449,H.CON.RES.10,05/03/2017,1
B001286,H.CON.RES.10,05/16/2017,1
G000579,H.CON.RES.10,05/16/2017,1
G000576,H.CON.RES.10,05/16/2017,1
T000467,H.CON.RES.10,05/25/2017,1
B001260,H.CON.RES.10,06/06/2017,1
H001058,H.CON.RES.10,06/07/2017,1
R000586,H.CON.RES.10,06/07/2017,1
M001201,H.CON.RES.10,06/08/2017,1
P000606,H.CON.RES.10,06/27/2017,1
R000582,H.CON.RES.10,07/11/2017,1
P000096,H.CON.RES.10,07/26/2017,1
B001284,H.CON.RES.10,07/27/2017,1
S000364,H.CON.RES.10,07/28/2017,1
L000585,H.CON.RES.10,09/05/2017,1
L000587,H.CON.RES.10,09/05/2017,1
D000096,H.CON.RES.10,09/05/2017,1
F000448,H.CON.RES.10,09/26/2017,1
M001159,H.CON.RES.10,10/23/2017,1
B001227,H.CON.RES.10,10/24/2017,1
K000378,H.CON.RES.10,10/25/2017,1
N000127,H.CON.RES.10,11/01/2017,1
S000344,H.CON.RES.11,01/23/2017,1
H001058,H.CON.RES.12,01/24/2017,1
M001194,H.CON.RES.12,01/24/2017,1
W000798,H.CON.RES.12,01/24/2017,1
T000475,H.CON.RES.12,01/24/2017,1
M001201,H.CON.RES.12,01/24/2017,1
B001275,H.CON.RES.13,01/24/2017,1
S000522,H.CON.RES.13,01/24/2017,1
W000813,H.CON.RES.13,01/24/2017,1
L000580,H.CON.RES.13,01/24/2017,1
W000814,H.CON.RES.13,01/24/2017,1
T000463,H.CON.RES.13,01/24/2017,1
U000031,H.CON.RES.13,01/24/2017,1
L000566,H.CON.RES.13,01/24/2017,1
B001291,H.CON.RES.13,01/24/2017,1
L000578,H.CON.RES.13,01/24/2017,1
W000791,H.CON.RES.13,01/24/2017,1
P000096,H.CON.RES.13,01/24/2017,1
A000369,H.CON.RES.13,01/24/2017,1
R000603,H.CON.RES.13,01/24/2017,1
G000410,H.CON.RES.13,01/24/2017,1
Y000063,H.CON.RES.13,01/24/2017,1
C001096,H.CON.RES.13,01/24/2017,1
C001087,H.CON.RES.13,01/24/2017,1
C000059,H.CON.RES.13,01/24/2017,1
L000565,H.CON.RES.13,01/24/2017,1
V000131,H.CON.RES.13,01/24/2017,1
S001183,H.CON.RES.13,01/24/2017,1
B001294,H.CON.RES.13,01/24/2017,1
C001072,H.CON.RES.13,01/24/2017,1
G000558,H.CON.RES.13,01/24/2017,1
W000799,H.CON.RES.13,01/24/2017,1
B001245,H.CON.RES.13,01/24/2017,1
D000624,H.CON.RES.13,01/24/2017,1
B001283,H.CON.RES.13,01/24/2017,1
R000575,H.CON.RES.13,01/24/2017,1
M001184,H.CON.RES.13,01/24/2017,1
J000290,H.CON.RES.13,01/24/2017,1
S001180,H.CON.RES.13,01/24/2017,1
B001257,H.CON.RES.13,01/24/2017,1
S000364,H.CON.RES.13,01/24/2017,1
W000821,H.CON.RES.13,01/24/2017,1
L000562,H.CON.RES.13,01/24/2017,1
A000374,H.CON.RES.13,01/24/2017,1
V000129,H.CON.RES.13,01/24/2017,1
F000372,H.CON.RES.13,01/24/2017,1
L000567,H.CON.RES.13,01/24/2017,1
K000381,H.CON.RES.13,01/24/2017,1
K000375,H.CON.RES.13,01/24/2017,1
S001172,H.CON.RES.13,01/24/2017,1
G000576,H.CON.RES.13,01/24/2017,1
M001195,H.CON.RES.13,01/24/2017,1
P000034,H.CON.RES.13,01/24/2017,1
J000297,H.CON.RES.13,01/24/2017,1
R000395,H.CON.RES.13,01/24/2017,1
S001196,H.CON.RES.13,01/24/2017,1
H001067,H.CON.RES.13,01/24/2017,1
C001092,H.CON.RES.13,01/24/2017,1
L000491,H.CON.RES.13,01/24/2017,1
