bill_number,title,primary_subject
H.R.102,"To expand the research and education on and delivery of complementary and alternative medicine to veterans, and for other purposes.",Armed Forces and National Security
H.R.119,"To repeal certain amendments to the Clean Air Act relating to the expansion of the renewable fuel program, and for other purposes.",Environmental Protection
H.R.94,"To amend title 38, United States Code, to require congressional approval before the appropriation of funds for the Department of Veterans Affairs major medical facility leases.",Armed Forces and National Security
H.R.131,"To reaffirm the trust status of land taken into trust by the United States pursuant to the Act of June 18, 1934, for the benefit of an Indian tribe that was federally recognized on the date that the land was taken into trust, and for other purposes.",Native Americans
H.R.93,"To amend title 38, United States Code, to provide for increased access to Department of Veterans Affairs medical care for women veterans.",Armed Forces and National Security
H.R.120,"To reduce the amount of foreign assistance to Mexico, Guatemala, Honduras, and El Salvador based on the number of unaccompanied alien children who are nationals or citizens of such countries and who in the preceding fiscal year are placed in Federal custody by reason of their immigration status.",International Affairs
H.R.139,To amend chapter 9 of title 11 of the United States Code to improve protections for employees and retirees in municipal bankruptcies.,Finance and Financial Sector
H.R.140,To amend section 301 of the Immigration and Nationality Act to clarify those classes of individuals born in the United States who are nationals and citizens of the United States at birth.,Immigration
H.RES.14,"Disapproving of President Obama and his administration's refusal to veto the anti-Israel resolution adopted by the United Nations Security Council on December 23, 2016.",International Affairs
H.RES.11,"Objecting to United Nations Security Council Resolution 2334 as an obstacle to Israeli-Palestinian peace, and for other purposes.",International Affairs
H.R.133,To reduce Federal spending and the deficit by terminating taxpayer financing of Presidential election campaigns.,Taxation
H.R.106,"To amend the VOW to Hire Heroes Act of 2011 to make permanent the Veterans Retraining Assistance Program, and for other purposes.",Armed Forces and National Security
H.R.110,To amend the Internal Revenue Code of 1986 to make permanent the exclusion from gross income of discharge of qualified principal residence indebtedness.,Taxation
H.R.138,"To amend title 11, United States Code, to improve protections for employees and retirees in business bankruptcies.",Finance and Financial Sector
H.R.97,"To amend the Consolidated and Further Continuing Appropriations Act, 2016, to enable the payment of certain officers and employees of the United States whose employment is authorized under the Deferred Action for Childhood Arrivals program, and for other purposes.",Congress
H.R.143,"To prohibit anticompetitive activities and to provide that health insurance issuers and medical malpractice insurance issuers are subject to the antitrust laws of the United States, and for other purposes.",Health
H.R.136,To amend title 28 of the United States Code to authorize the appointment of additional bankruptcy judges; and for other purposes.,Law
H.R.88,"To modify the boundary of the Shiloh National Military Park located in Tennessee and Mississippi, to establish Parker's Crossroads Battlefield as an affiliated area of the National Park System, and for other purposes.",Public Lands and Natural Resources
H.R.128,"To amend section 416 of title 39, United States Code, to remove the authority of the United States Postal Service to issue semipostals except as provided for by an Act of Congress, and for other purposes.",Government Operations and Politics
H.R.91,"To amend title 38, United States Code, to make permanent the pilot program on counseling in retreat settings for women veterans newly separated from service in the Armed Forces.",Armed Forces and National Security
H.R.132,"To authorize the Secretary of the Interior to convey certain land and appurtenances of the Arbuckle Project, Oklahoma, to the Arbuckle Master Conservancy District, and for other purposes.",Public Lands and Natural Resources
H.R.95,"To amend title 38, United States Code, to direct the Secretary of Veterans Affairs to provide child care assistance to veterans receiving certain medical services provided by the Department of Veterans Affairs.",Armed Forces and National Security
H.R.125,"To authorize a pilot program to improve asset recovery levels, asset management, and homeownership retention with respect to delinquent single-family mortgages insured under the FHA mortgage insurance programs by providing for in-person contact outreach activities with mortgagors under such mortgages, and for other purposes.",Housing and Community Development
H.R.111,To amend the Internal Revenue Code of 1986 to increase the limitations for deductible new business expenditures and to consolidate provisions for start-up and organizational expenditures.,Taxation
H.R.126,To direct the Election Assistance Commission to carry out a pilot program under which the Commission shall provide funds to local educational agencies for initiatives to provide voter registration information to secondary school students in the 12th grade.,Education
