bill_number,title,primary_subject
H.R.137,To amend title 11 of the United States Code to stop abusive student loan collection practices in bankruptcy cases.,Finance and Financial Sector
H.R.142,"To amend title 18, United States Code, to provide for the protection of the general public, and for other purposes.",Crime and Law Enforcement
H.R.101,To direct the Comptroller General of the United States to conduct reviews of certain budget requests of the President for the medical care accounts of the Department of Veterans Affairs.,Armed Forces and National Security
H.R.135,"To protect cyber privacy, and for other purposes.","Science, Technology, Communications"
H.R.121,"Making supplemental appropriations for the Army Corps of Engineers for flood control projects and storm damage reduction projects in areas affected by flooding in the city of Houston, Texas, and for other purposes.",Emergency Management
H.R.87,"To make 5 percent across-the-board rescissions in non-defense, non-homeland-security, and non-veterans-affairs discretionary spending for each of the fiscal years 2017 and 2018.",Economics and Public Finance
H.R.118,"To make clear that an agency outside of the Department of Health and Human Services may not designate, appoint, or employ special consultants, fellows, or other employees under subsection (f) or (g) of section 207 of the Public Health Service Act.",Health
H.R.90,To authorize the Secretary of Veterans Affairs to carry out certain major medical facility leases of the Department of Veterans Affairs.,Armed Forces and National Security
H.R.108,To amend the Internal Revenue Code of 1986 to allow a credit for employers providing student loan payment assistance for employees.,Taxation
H.R.141,To amend title 11 of the United States Code to dispense with the requirement of providing assurance of payment for utility services under certain circumstances.,Finance and Financial Sector
H.R.103,"To amend the Department of Veterans Affairs Health Care Programs Enhancement Act of 2001 and title 38, United States Code, to require the provision of chiropractic care and services to veterans at all Department of Veterans Affairs medical centers and to expand access to such care and services.",Armed Forces and National Security
H.R.107,"To amend title 38, United States Code, to direct the Secretary of Labor to prioritize the provision of services to homeless veterans with dependent children in carrying out homeless veterans reintegration programs, and for other purposes.",Armed Forces and National Security
H.R.144,"To establish a corporate crime database, and for other purposes.",Crime and Law Enforcement
H.R.117,"To repeal Federal energy conservation standards, and for other purposes.",Energy
H.R.114,To require the Secretary of Homeland Security to search all public records to determine if an alien is inadmissible to the United States.,Immigration
H.R.89,"To amend subtitle IV of title 40, United States Code, regarding county additions to the Appalachian region.",Housing and Community Development
H.R.92,"To amend title 38, United States Code, to increase the maximum age for children eligible for medical care under the CHAMPVA program.",Armed Forces and National Security
H.R.105,"To amend title 38, United States Code, to ensure that the Secretary of Veterans Affairs repays the misused benefits of veterans with fiduciaries, to establish an appeals process for determinations by the Secretary of Veterans Affairs of veterans' mental capacity, and for other purposes.",Armed Forces and National Security
H.R.104,"To amend title 38, United States Code, to make permanent certain programs that assist homeless veterans and other veterans with special needs, and for other purposes.",Armed Forces and National Security
H.R.123,To extend the pilot program under section 258 of the National Housing Act that establishes an automated process for providing alternative credit rating information for mortgagors and prospective mortgagors under certain mortgages.,Housing and Community Development
H.R.113,To prevent human health threats posed by the consumption of equines raised in the United States.,Agriculture and Food
H.R.115,"To amend title 18, United States Code, to provide additional aggravating factors for the imposition of the death penalty based on the status of the victim.",Crime and Law Enforcement
H.R.122,"To amend the Fair Labor Standards Act to provide for the calculation of the minimum wage based on the Federal poverty threshold for a family of 4, as determined by the Bureau of the Census.",Labor and Employment
H.R.109,To amend the Internal Revenue Code of 1986 to make permanent the deduction for mortgage insurance premiums.,Taxation
H.R.98,"To replace references to ""wives"" and ""husbands"" in Federal law with references to ""spouses"", and for other purposes.","Civil Rights and Liberties, Minority Issues"
H.R.134,"To amend title 11 of the United States Code with respect to modification of certain mortgages on principal residences, and for other purposes.",Housing and Community Development
H.R.207,To resolve title issues involving real property and equipment acquired using funds provided under the Alaska Kiln Drying Grant Program.,Agriculture and Food
H.R.124,"To establish a grant program providing for the acquisition, operation, and maintenance of body-worn cameras for law enforcement officers, and for other purposes.",Crime and Law Enforcement
H.R.112,To amend the Internal Revenue Code of 1986 to temporarily allow expensing of certain costs of replanting citrus plants lost by reason of casualty.,Taxation
H.R.116,To amend the Internal Revenue Code of 1986 to ensure that pass-through businesses do not pay tax at a higher rate than corporations.,Taxation
H.R.210,"To facilitate the development of energy on Indian lands by reducing Federal regulations that impede tribal development of Indian lands, and for other purposes.",Native Americans
H.R.208,To waive the essential health benefits requirements for certain States.,Health
H.R.214,"To establish the American Fisheries Advisory Committee to assist in the awarding of fisheries research and development grants, and for other purposes.",Public Lands and Natural Resources
H.R.22,"To provide for operational control of the international border of the United States, and for other purposes.",Emergency Management
H.R.24,"To require a full audit of the Board of Governors of the Federal Reserve System and the Federal reserve banks by the Comptroller General of the United States, and for other purposes.",Finance and Financial Sector
H.R.29,To terminate the Internal Revenue Code of 1986.,Taxation
H.R.44,To amend the Professional Boxing Safety Act of 1996 to include fighters of combat sports in the safety provisions of such Act.,Sports and Recreation
H.R.212,"To amend the Indian Self-Determination and Education Assistance Act to provide a process for expediting congressional review of an Indian tribe's funding agreement at the Indian tribe's request, and for other purposes.",Native Americans
H.R.213,"To remove reversionary clauses on property owned by the municipality of Anchorage, Alaska.",Public Lands and Natural Resources
H.R.48,"To require that activities carried out by the United States in South Sudan relating to governance, reconstruction and development, and refugee relief and assistance will support the basic human rights of women and women's participation and leadership in these areas.",International Affairs
H.R.215,"To empower federally recognized Indian tribes to accept restricted fee tribal lands, and for other purposes.",Native Americans
H.R.35,To amend the Internal Revenue Code of 1986 to modify rules relating to health savings accounts.,Taxation
H.R.31,"To provide for the periodic review of the efficiency and public need for Federal agencies, to establish a commission for the purpose of reviewing the efficiency and public need of such agencies, and to provide for the abolishment of agencies for which a public need does not exist.",Government Operations and Politics
H.R.216,"To authorize modification or augmentation of the Second Division Memorial, and for other purposes.",Public Lands and Natural Resources
H.R.59,"To enhance the security of chemical facilities, and for other purposes.",Emergency Management
H.R.55,To establish a grant program for nebulizers in elementary and secondary schools.,Education
H.R.38,"To amend title 18, United States Code, to provide a means by which nonresidents of a State whose residents may carry concealed firearms may also do so in the State.",Crime and Law Enforcement
